seq;par;cuda;cuda_opt
38.136;2.219;16.358;18.254
35.824;2.055;12.637;17.669
35.676;2.126;12.358;17.545
38.136;1.994;12.398;17.652
35.824;2.001;12.460;17.554
35.676;1.955;12.458;17.618
38.136;2.102;12.691;17.650
35.824;2.078;12.763;17.628
35.676;1.968;12.390;17.655
38.136;2.084;12.661;17.512
35.824;2.045;12.741;17.513
35.676;2.006;12.386;18.052
38.136;2.106;12.356;17.857
35.824;2.012;12.409;17.941
35.676;2.036;12.636;17.966
38.136;2.003;12.653;17.942
35.824;2.028;12.352;17.942
35.676;2.007;12.483;17.942
38.136;2.028;12.739;17.942
35.824;1.998;12.635;17.942
35.676;2.011;12.433;17.942
38.136;2.047;12.690;17.942
35.824;2.010;12.749;17.942
35.676;2.022;12.403;17.942
