seq;par;cuda;cuda_opt
1024;26.205;70.659;106.250
1024;26.634;70.544;106.554
1024;28.877;70.792;106.232
1024;29.286;70.811;106.598
1024;28.924;70.841;105.952
1024;26.619;70.546;105.952
