  time (s)              T(t) (K)              P(t) (Pa)           Kinetic En. (n.u.)     Potential En. (n.u.) Total En. (n.u.)
  0.0000e+00           99.82857062            0.00000000        2276.25580637       -21170.98199716       -18894.72619078 
  5.0000e-15           99.45212689            0.00000000        2267.67226934       -21153.04090228       -18885.36863294 
  1.0000e-14           98.82337951            0.00000000        2253.33579366       -21123.16130102       -18869.82550735 
  1.5000e-14           97.94118046            0.00000000        2233.22020264       -21081.42819330       -18848.20799066 
  2.0000e-14           96.80455430            0.00000000        2207.30325438       -21027.98338352       -18820.68012914 
  2.5000e-14           95.41318714            0.00000000        2175.57779190       -20963.04207699       -18787.46428509 
  3.0000e-14           93.76809832            0.00000000        2138.06705775       -20886.91470852       -18748.84765077 
  3.5000e-14           91.87251486            0.00000000        2094.84463305       -20800.03400319       -18705.18937014 
  4.0000e-14           89.73295913            0.00000000        2046.05923907       -20702.98682272       -18656.92758365 
  4.5000e-14           87.36053607            0.00000000        1991.96408641       -20596.54953804       -18604.58545163 
  5.0000e-14           84.77236017            0.00000000        1932.94941378       -20481.72438026       -18548.77496648 
  5.5000e-14           81.99299120            0.00000000        1869.57522413       -20359.77244294       -18490.19721881 
  6.0000e-14           79.05565513            0.00000000        1802.59912467       -20232.23697224       -18429.63784757 
  6.5000e-14           76.00293997            0.00000000        1732.99219188       -20100.94894560       -18367.95675373 
  7.0000e-14           72.88662359            0.00000000        1661.93504639       -19968.00680737       -18306.07176098 
  7.5000e-14           69.76637057            0.00000000        1590.78813915       -19835.72473412       -18244.93659496 
  8.0000e-14           66.70724610            0.00000000        1521.03506351       -19706.54918536       -18185.51412185 
  8.5000e-14           63.77627586            0.00000000        1454.20411547       -19582.95029404       -18128.74617858 
  9.0000e-14           61.03850526            0.00000000        1391.77843734       -19467.30010730       -18075.52166997 
  9.5000e-14           58.55307928            0.00000000        1335.10663198       -19361.75164153       -18026.64500955 
  1.0000e-13           56.36978686            0.00000000        1285.32396939       -19268.13126734       -17982.80729795 
  1.0500e-13           54.52638374            0.00000000        1243.29134260       -19187.85392125       -17944.56257865 
  1.1000e-13           53.04689530            0.00000000        1209.55656967       -19121.86755131       -17912.31098164 
  1.1500e-13           51.94100311            0.00000000        1184.34040671       -19070.63016533       -17886.28975861 
  1.2000e-13           51.20450498            0.00000000        1167.54703647       -19034.11945059       -17866.57241412 
  1.2500e-13           50.82070942            0.00000000        1158.79586553       -19011.87135374       -17853.07548821 
  1.3000e-13           50.76251889            0.00000000        1157.46902563       -19003.04106827       -17845.57204264 
  1.3500e-13           50.99490507            0.00000000        1162.76781331       -19006.47833009       -17843.71051678 
  1.4000e-13           51.47749148            0.00000000        1173.77157810       -19020.80894275       -17847.03736465 
  1.4500e-13           52.16701592            0.00000000        1189.49387085       -19044.51566528       -17855.02179442 
  1.5000e-13           53.01952044            0.00000000        1208.93237772       -19076.01339096       -17867.08101323 
  1.5500e-13           53.99218747            0.00000000        1231.11078781       -19113.71538828       -17882.60460047 
  1.6000e-13           55.04479640            0.00000000        1255.11200495       -19156.08893832       -17900.97693336 
  1.6500e-13           56.14081152            0.00000000        1280.10295460       -19201.69986469       -17921.59691009 
  1.7000e-13           57.24813359            0.00000000        1305.35172120       -19249.24623317       -17943.89451197 
  1.7500e-13           58.33955750            0.00000000        1330.23798378       -19297.58197580       -17967.34399203 
  1.8000e-13           59.39298157            0.00000000        1354.25778719       -19345.73145093       -17991.47366374 
  1.8500e-13           60.39141198            0.00000000        1377.02364493       -19392.89604278       -18015.87239785 
  1.9000e-13           61.32280053            0.00000000        1398.26083766       -19438.45386614       -18040.19302848 
  1.9500e-13           62.17974452            0.00000000        1417.80057186       -19481.95351005       -18064.15293819 
  2.0000e-13           62.95906819            0.00000000        1435.57043489       -19523.10258212       -18087.53214724 
  2.0500e-13           63.66129627            0.00000000        1451.58239141       -19561.75167389       -18110.16928248 
  2.1000e-13           64.29002653            0.00000000        1465.91847677       -19597.87432972       -18131.95585295 
  2.1500e-13           64.85121103            0.00000000        1478.71440750       -19631.54371818       -18152.82931068 
  2.2000e-13           65.35236652            0.00000000        1490.14157797       -19662.90699831       -18172.76542034 
  2.2500e-13           65.80175381            0.00000000        1500.38834831       -19692.15882830       -18191.77047999 
  2.3000e-13           66.20759002            0.00000000        1509.64208226       -19719.51598522       -18209.87390296 
  2.3500e-13           66.57737803            0.00000000        1518.07385771       -19745.19543619       -18227.12157848 
  2.4000e-13           66.91743964            0.00000000        1525.82782238       -19769.39811620       -18243.57029382 
  2.4500e-13           67.23271154            0.00000000        1533.01654096       -19792.29990330       -18259.28336234 
  2.5000e-13           67.52680861            0.00000000        1539.72243839       -19814.04992532       -18274.32748693 
  2.5500e-13           67.80229778            0.00000000        1546.00404533       -19834.77484039       -18288.77079505 
  2.6000e-13           68.06108459            0.00000000        1551.90481067       -19854.58669978       -18302.68188911 
  2.6500e-13           68.30480890            0.00000000        1557.46212636       -19873.59178734       -18316.12966097 
  2.7000e-13           68.53517334            0.00000000        1562.71481491       -19891.89836174       -18329.18354684 
  2.7500e-13           68.75416718            0.00000000        1567.70823518       -19909.62211690       -18341.91388172 
  2.8000e-13           68.96418272            0.00000000        1572.49693534       -19926.88899973       -18354.39206439 
  2.8500e-13           69.16803962            0.00000000        1577.14520829       -19943.83555187       -18366.69034358 
  2.9000e-13           69.36893748            0.00000000        1581.72601041       -19960.60716061       -18378.88115020 
  2.9500e-13           69.57035385            0.00000000        1586.31863532       -19977.35463433       -18391.03599902 
